genre	\N	1894	1897	1898	1899	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2115
Game-Show	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0
Short	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Talk-Show	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	2	4	4	4	4	11	8	3	7	1	1	0	0	0	0	0	0
Reality-TV	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	4	3	3	4	5	6	6	7	0	5	8	8	19	19	16	12	6	1	0	0	0	0	0	0
Film-Noir	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	3	4	1	1	1	5	9	3	8	8	13	21	9	25	38	57	64	52	64	66	51	33	31	28	51	48	39	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
News	19	0	2	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	5	2	2	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	3	2	6	10	108	187	205	251	315	341	167	61	38	30	6	0	1	0	0	0	0	0
Sport	431	0	2	0	4	0	1	1	0	1	0	5	0	1	1	3	0	0	3	1	7	4	5	3	14	13	4	11	12	8	11	8	12	9	14	9	8	28	11	10	11	14	18	22	10	14	11	9	4	4	1	1	11	15	14	17	21	16	19	12	13	16	11	6	5	8	10	5	12	17	15	18	12	20	16	25	16	29	22	17	11	22	24	25	35	16	15	19	27	21	22	32	18	23	19	18	15	27	18	28	14	31	24	31	31	44	39	46	41	54	81	100	124	145	171	184	221	219	276	281	251	279	231	194	81	10	0	0	0	0	0	0
Animation	926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	2	1	2	1	3	2	9	3	2	1	0	3	3	6	1	2	5	4	5	4	1	6	9	2	5	15	9	5	8	13	10	8	11	6	10	6	8	5	4	4	10	6	13	14	8	10	15	16	22	23	15	23	19	17	24	23	20	20	25	33	35	30	40	50	47	48	48	63	49	41	34	37	54	42	40	46	47	63	68	61	78	83	77	77	81	85	89	117	149	144	167	199	256	244	257	286	316	335	460	487	196	44	15	3	0	0	0	0
Western	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	4	15	29	40	78	90	85	78	96	129	108	171	219	163	136	131	86	69	80	85	52	49	104	89	90	72	94	97	89	76	78	63	68	84	74	98	96	120	105	100	81	67	75	75	82	65	51	61	62	62	48	82	107	136	107	119	97	93	117	116	77	34	57	39	20	23	28	12	15	15	10	8	12	16	10	6	8	10	13	10	11	16	19	4	3	12	8	11	8	12	15	10	22	16	21	27	28	40	44	45	42	63	53	43	56	59	39	11	0	0	0	0	0	0
Adult	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	7	3	1	8	18	122	236	170	206	192	293	312	260	293	251	232	295	226	314	381	473	364	302	295	358	448	121	115	120	86	118	60	71	38	31	28	23	23	21	26	14	22	37	87	69	41	38	44	52	55	56	52	44	63	10	3	0	0	0	0	0	0
